domain,homepage_url,homepage_title,og_site_name,og_title,schema_org_name,wikidata_label,wikidata_qid,wikidata_official_site,enriched_company_name,source,status,notes
aby-bio.com,https://aby-bio.com/,Abyssinia Biosciences – Eradicating Neurodegenerative Diseases,,,,,,,Abyssinia Biosciences,homepage_title,ok,
accelerant.ai,https://accelerant.ai/,The Accelerant Risk Exchange,Accelerant Risk Exchange,The Accelerant Risk Exchange,,,,,Accelerant Risk Exchange,og_site_name,ok,
accenture.com,https://www.accenture.com/ca-en,Canada | Let There Be Change | Accenture,,Accenture | Let there be change,Accenture | Canada | Let There Be Change,,,,Accenture | Canada | Let There Be Change,schema_org_name,ok,
accion.org,https://www.accion.org/,Powering Financial Inclusion Through Digital Technology - Accion,Accion,Powering Financial Inclusion Through Digital Technology,,,,,Accion,og_site_name,ok,
accelins.com,https://accelerant.ai/,The Accelerant Risk Exchange,Accelerant Risk Exchange,The Accelerant Risk Exchange,,,,,Accelerant Risk Exchange,og_site_name,ok,
con,,,,,,,,,,,no_data,
acciona.com,https://www.acciona.com/,ACCIONA | Business as unusual,,ACCIONA | Business as unusual,,,,,ACCIONA | Business as unusual,og_title,ok,
acclaimautism.com,https://acclaimautism.com/,Home - Acclaim Autism,Acclaim Autism,Home - Acclaim Autism,,,,,Acclaim Autism,og_site_name,ok,
acclintl.com,https://acclintl.com/,,,,,,,,,,ok,
accountedforcpa.com,https://www.accountedforcpa.com/,Home | AccountedFor,,Home | AccountedFor,,,,,Home | AccountedFor,og_title,ok,
accoes.com,https://www.accoes.com/,Home - ACCO,ACCO,Home - ACCO,,,,,ACCO,og_site_name,ok,
accor.com,https://group.accor.com/en,Accor Group,,Accor Group,,,,,Accor Group,og_title,ok,
accrual.com,https://accrual.com/,Accrual,,,,,,,Accrual,homepage_title,ok,
absolutebesthomecare.com,https://www.absolutebesthomecare.com/,"Luxury Senior Homecare Redefined | Westport, CT - Absolute Best Home Care",,Absolute Best Home Care,,,,,Absolute Best Home Care,og_title,ok,
abtechindustries.com,https://www.abtechindustries.com/,Industrial & Commercial Water Filtration Solutions | Abtech Industries,Abtech Ind. NEW,Industrial & Commercial Water Filtration Solutions | Abtech Industries,,,,,Abtech Ind. NEW,og_site_name,ok,
accucloud.io,https://accucloud.io/,AccuCloud Inc,,,,,,,AccuCloud Inc,homepage_title,ok,
acemodels.com,https://acemodels.com/,Ace Models,Ace Models,Home - 2 - Ace Models,,,,,Ace Models,og_site_name,ok,
accurateadvisory.com,https://www.accurateadvisory.com/,Accurate Advisory Group | Integrated Wealth Management,Accurate Advisory Group | Integrated Wealth Management,Accurate Advisory Group | Integrated Wealth Management,,,,,Accurate Advisory Group | Integrated Wealth Management,og_site_name,ok,
accsolutions.ai,https://accsolutions.ai/,Accelerated AI and Data Solutions,,,,,,,Accelerated AI and Data Solutions,homepage_title,ok,
aceconstructionmaint.com,https://www.aceconstructionmaint.com/,Home,My Vxw Site Gooxt1,Home,,,,,My Vxw Site Gooxt1,og_site_name,ok,
aceron.com,https://aceron.com/,"Aceron - Strategic Solutions, It Consulting, Expert Consulting",Aceron,Aceron,,,,,Aceron,og_site_name,ok,
acexp.com,,,,,,,,,,,no_data,
acephale.co,https://acephale.co/,Acephale (       ),Acephale Ventures,Acephale Ventures,,,,,Acephale Ventures,og_site_name,ok,
aceup.com,https://aceup.com/,"Coaching for Leaders, Teams & Organizations | AceUp",AceUp,"Coaching for Leaders, Teams & Organizations | AceUp",,,,,AceUp,og_site_name,ok,
achenest.nyc,,,,,,,,,,,no_data,
acesdiagnostics.com,https://www.acesdiagnostics.com/,Home | Aces Diagnostics - LymeSeek,Aces Diagnostics,Home | Aces Diagnostics - LymeSeek,,,,,Aces Diagnostics,og_site_name,ok,
achira.ai,https://achira.ai/,Achira,Achira,Achira,,,,,Achira,og_site_name,ok,
achilleshr.com,https://achilleshr.com/,Home Page - AchillesHR,AchillesHR,Home Page AchillesHR - Empowering HR and Operations with AI,,,,,AchillesHR,og_site_name,ok,
acklenavenue.com,https://acklenavenue.com/,Outsourcing Software Development Services | Acklen Avenue,Acklen Avenue,Outsourcing Software Development Services | Acklen Avenue,,,,,Acklen Avenue,og_site_name,ok,
acidremap.com,https://www.acidremap.com/,"Paramedic Protocol ProviderÂ® - Medical App for iOS and
        Android",,,,,,,Paramedic Protocol ProviderÂ®,homepage_title,ok,
ackinfra.com,https://www.ackinfra.com/,ACK Infra | Home | Digital Infrastructure,ACK Infra,ACK Infra | Home | Digital Infrastructure,,,,,ACK Infra,og_site_name,ok,
acertitude.com,https://www.acertitude.com/,Home - Acertitude,Acertitude,Home,,,,,Acertitude,og_site_name,ok,
acorecapital.com,https://acorecapital.com/,ACORE Capital | Leading Investment Manager of Real Estate Debt,ACORE CAPITAL LP,ACORE Capital | Leading Investment Manager of Real Estate Debt,,,,,ACORE CAPITAL LP,og_site_name,ok,
acornsurrogacy.com,https://acornsurrogacy.com/,Top Surrogate Agency in Los Angeles | Surrogacy In California,,Top Surrogate Agency in Los Angeles | Surrogacy In California,,,,,Top Surrogate Agency in Los Angeles | Surrogacy In California,og_title,ok,
acmartin.com,https://www.acmartin.com/,| HOME | AC Martin,,,,,,,| HOME,homepage_title,ok,
acmllc.com,https://www.atlanticcoastmortgage.com/,Apply for a Mortgage Online - Atlantic Coast Mortgage,Atlantic Coast Mortgage,Apply for a Mortgage Online,,,,,Atlantic Coast Mortgage,og_site_name,ok,
acpe.edu,https://acpe.edu/,ACPE,Default,ACPE,,,,,Default,og_site_name,ok,
acsyria.org,https://acsyria.org/,American Coalition for Syria: Together for a Stronger US-Syria Relations,American Coalition for Syria,American Coalition for Syria,,,,,American Coalition for Syria,og_site_name,ok,
actable.com,https://actable.com/,Actable | The Intelligence Factory,Actable | The Intelligence Factory,The Customer Data Accelerator | Actable,,,,,Actable | The Intelligence Factory,og_site_name,ok,
acoufelt.com,https://www.acoufelt.com/,Acoufelt US | Home,Acoufelt,Acoufelt US | Home,,,,,Acoufelt,og_site_name,ok,
acairoots.com,https://www.acairoots.com/,Açaí Roots,Acai Roots,Açaí Roots,,,,,Acai Roots,og_site_name,ok,
activelifeimports.com,,,,,,,,,,,no_data,
actelag.com,https://actelag.com/,Actel Advisory Group,Actel Advisory Group,Actel Advisory Group,Actel Advisory Group,,,,Actel Advisory Group,schema_org_name,ok,
activecampaign.com,https://www.activecampaign.com/,Marketing automation for any business | ActiveCampaign,ActiveCampaign,Marketing automation for any business,,,,,ActiveCampaign,og_site_name,ok,
actumllc.com,,,,,,,,,,,no_data,
actually.co,https://www.actually.co/,ActuallyÂ® | Film Production & Creative Agency,,ActuallyÂ® | Film Production & Creative Agency,,,,,ActuallyÂ® | Film Production & Creative Agency,og_title,ok,
acuracounts.com,https://acuracounts.com/,"Acuracounts - Taxes Specialist, Business Management/Education",Acuracounts,Acuracounts,,,,,Acuracounts,og_site_name,ok,
acuity.co,https://acuity.co/,Acuity | Online Bookkeeping Services for Your Small Business,Acuity,Acuity | Online Bookkeeping Services for Your Small Business,,,,,Acuity,og_site_name,ok,
acuservecorp.com,https://acuservecorp.com/,Leading Healthcare Revenue Cycle Management | ACU-Serve,ACU-Serve,Leading Healthcare Revenue Cycle Management | ACU-Serve,,,,,ACU-Serve,og_site_name,ok,
actcommodities.com,https://www.actgroup.com/,ACT Group | Your Sustainability Solutions Partner,ACT Group,Your Sustainability Solutions Partner,,,,,ACT Group,og_site_name,ok,
ad-west.com,https://www.ad-west.com/,Ad-West Realty Services,Ad-West Realty Services,Ad-West Realty Services,,,,,Ad-West Realty Services,og_site_name,ok,
ada.support,,,,,,,,,,,no_data,
adamscapitala.com,,,,,,,,,,,no_data,
adamscapital.com,https://www.adamscapital.com/,Adams Capital | Business Valuation,Adams Capital,Adams Capital | Business Valuation,,,,,Adams Capital,og_site_name,ok,
adamsunlimited.co,https://adamsunlimited.co/,[RESULTS GUARANTEED] - Secure $50k-$500k in 0% Interest Funding.,,[RESULTS GUARANTEED] - Secure $50k-$500k in 0% Interest Funding.,,,,,[RESULTS GUARANTEED] - Secure $50k-$500k in 0% Interest Funding.,og_title,ok,
abuzzproductions.com,,,,,,,,,,,no_data,
adavteam.com,,,,,,,,,,,no_data,
acentopartners.com,https://acentopartners.com/,Acento Real Estate Partners,,,,,,,Acento Real Estate Partners,homepage_title,ok,
addictionpolicy.org,https://www.addictionpolicy.org/,Addiction Policy Forum,APF,Addiction Policy Forum,,,,,APF,og_site_name,ok,
addainfusion.com,https://www.addainfusion.com/,"ADDA - outsourced HR, Payroll, Benefits, and Talent Made Easy",ADDA,ADDA Homepage (Main - 2025),,,,,ADDA,og_site_name,ok,
addy-ai.com,https://addy.so,Close Mortgage Loans 90% Faster | Addy AI,,Close Mortgage Loans 90% Faster | Addy AI,,,,,Close Mortgage Loans 90% Faster | Addy AI,og_title,ok,
addpeople.co.uk,https://www.addpeople.co.uk/,Add People | The Digital Marketing Agency Built For SME's,Add People,Add People | The Digital Marketing Agency Built For SME's,,,,,Add People,og_site_name,ok,
acl-home.com,https://aclimpex.com/,ACL Impex: High-Quality Bedding Manufacturers,ACL Impex,ACL Impex: High-Quality Bedding Manufacturers,,,,,ACL Impex,og_site_name,ok,
adelphiventures.com,https://www.adelphiventures.com/,Home | Adelphi Ventures,Adelphi Ventures,Home | Adelphi Ventures,,,,,Adelphi Ventures,og_site_name,ok,
adhocteam.us,https://adhoc.team/index.html,Ad Hoc,Ad Hoc,Ad Hoc,Ad Hoc,,,,Ad Hoc,schema_org_name,ok,
addpeople.com,https://www.addpeople.com/,Add People | The Digital Marketing Agency Built For SME's,Add People,Add People | The Digital Marketing Agency Built For SME's,,,,,Add People,og_site_name,ok,
adiblaw.com,,,,,,,,,,,no_data,
aditumbio.com,https://www.aditumbio.com/,"Home | Aditum Bio | Translating Science, Benefiting Patients",Aditum Corp LIVE,"Home | Aditum Bio | Translating Science, Benefiting Patients",,,,,Aditum Corp LIVE,og_site_name,ok,
adicetbio.com,https://www.adicetbio.com/,Adicet Bio | Gamma Delta T cells | Off the-shelf T cell therapy,,,,,,,Adicet Bio,homepage_title,ok,
adlook.com,https://www.adlook.com/,Adlook | Brand Growth Platform for Consumer Marketers,,Adlook | Brand Growth Platform for Consumer Marketers,,,,,Adlook | Brand Growth Platform for Consumer Marketers,og_title,ok,
acreage.earth,https://acreage.earth/,From Vision to Value: Your Partner in Land Feasibility,,From Vision to Value: Your Partner in Land Feasibility,,,,,From Vision to Value: Your Partner in Land Feasibility,og_title,ok,
adminbyrequest.com,https://www.adminbyrequest.com/en,"Local Admin Rights, Managed » Admin By Request","Admin By Request » Local Admin Rights, Managed.","Local Admin Rights, Managed » Admin By Request",,,,,"Admin By Request » Local Admin Rights, Managed.",og_site_name,ok,
adoptaclassroom.org,https://www.adoptaclassroom.org,Home | AdoptAClassroom.org | Fund a Teacher or School,AdoptAClassroom.org,AdoptAClassroom.org: Support Teachers and Schools,,,,,AdoptAClassroom.org,og_site_name,ok,
admiralins.com,https://www.admiralins.com/,Admiral Insurance Group | E&S Insurance Coverage,Admiral Insurance Group,Admiral Insurance Group | E&S Insurance Coverage,,,,,Admiral Insurance Group,og_site_name,ok,
ads.com,https://www.ads.com/,Ads.com - Search Traffic Monetization,,,,,,,Ads.com,homepage_title,ok,
adtheorent.com,https://www.cadent.com/,Meet the New Cadent | Cadent,,Meet the New Cadent | Cadent,,,,,Meet the New Cadent | Cadent,og_title,ok,
advancecre.com,https://advancecre.com/,Advance CRE,,,,,,,Advance CRE,homepage_title,ok,
advance.academy,https://www.advanceacademyusa.com/,Home,Advance Academy,Home,,,,,Advance Academy,og_site_name,ok,
advanceddri.com,https://advanceddri.com/,Advanced DRI | Professional Disaster Restoration Services,Advanced Disaster Recovery Inc. - Water Damage Restoration Company,Advanced DRI | Professional Disaster Restoration Services,,,,,Advanced Disaster Recovery Inc. - Water Damage Restoration Company,og_site_name,ok,
advantageinsurancespecialists.com,https://advantageinsurancespecialists.com/,,,,,,,,,,ok,
adaltaglobal.com,https://www.adaltaglobal.com/,Adalta Global Solutions,,Adalta Global Solutions,,,,,Adalta Global Solutions,og_title,ok,
advantisglobal.com,,,,,,,,,,,no_data,
advenirdevelopment.com,https://advenirdevelopment.com/,Home - Advenir Development,Advenir Development,Home - Advenir Development,,,,,Advenir Development,og_site_name,ok,
activelinks.net,https://activelinks.net/,Active Link,Active Link,Home - Active Link,,,,,Active Link,og_site_name,ok,
adventr.ai,https://adventr.ai/,Adventr – Interactive Streaming ~ Adventr,Adventr,Adventr | The AI-Powered Engine for Interactive Video,,,,,Adventr,og_site_name,ok,
adeccona.com,,,,,,,,,,,no_data,
adverity.com,https://www.adverity.com/,The integrated data platform for teams that run on data,,The integrated data platform for teams that run on data,Adverity,,,,Adverity,schema_org_name,ok,
adoptionsupportcenter.com,https://adoptionsupportcenter.com/,,,,,,,,,,ok,
adonishr.com,https://www.adonishr.com/,"Workforce Management, Scheduling & Payroll | Adonis HR",,"Workforce Management, Scheduling & Payroll | Adonis HR",Adonis HR,,,,Adonis HR,schema_org_name,ok,
adresultsmedia.com,https://www.adresultsmedia.com/,Ad Results Media | Digital Audio & Podcast Advertising Agency,Ad Results Media,Ad Results Media | Digital Audio & Podcast Advertising Agency,,,,,Ad Results Media,og_site_name,ok,
advisori.com,https://www.advisori.com/,Advisori | Data Privacy Law Consultancy,Advisori,Advisori | Data Privacy Law Consultancy,,,,,Advisori,og_site_name,ok,
advyzom.com,https://advyzom.com/,Advyzom – Strategic Regulatory and Consulting Services,,,,,,,Advyzom,homepage_title,ok,
advocate-art.com,https://www.advocate-art.com/,Illustration Agency | Advocate - Art,"Advocate Art | Illustration & Publishing Agency based in London, Seville, Frankfurt & New York.",,,,,,"Advocate Art | Illustration & Publishing Agency based in London, Seville, Frankfurt & New York.",og_site_name,ok,
advastargroup.com,https://advastargroup.com/,Engineering and Construction Recruiter + Owner's Representative,Advastar,Engineering and Construction Recruiter + Owner's Representative,,,,,Advastar,og_site_name,ok,
aegislaw.com,https://aegislaw.com/,AEGIS Law - AEGIS LAW,AEGIS LAW - More Minds over Your Matters.,AEGIS Law - AEGIS LAW,,,,,AEGIS LAW - More Minds over Your Matters.,og_site_name,ok,
aegistitlefl.com,https://www.aegistitlefl.com/,Aegis Title & Escrow,Aegis Title & Escrow,Aegis Title & Escrow,,,,,Aegis Title & Escrow,og_site_name,ok,
adveniroakleycapital.com,https://advenirdevelopment.com/,Home - Advenir Development,Advenir Development,Home - Advenir Development,,,,,Advenir Development,og_site_name,ok,
aeiconsultants.com,https://aeiconsultants.com/,AEI Consultants,AEI Consultants,AEI Consultants,,,,,AEI Consultants,og_site_name,ok,
